case_index	diff_path	status	rc	logdir	workdir
22	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset0/dataset_13/2/ibex_controller.sv.diff	OK	0	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/logs/22	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/work/22
18	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset0/dataset_12/4/ibex_compressed_decoder.sv.diff	OK	0	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/logs/18	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/work/18
21	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset0/dataset_13/1/ibex_if_stage.sv.diff	OK	0	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/logs/21	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/work/21
14	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset0/dataset_12/0/ibex_core.sv.diff	OK	0	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/logs/14	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/work/14
10	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset0/dataset_11/2/ibex_prefetch_buffer.sv.diff	OK	0	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/logs/10	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/work/10
23	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset0/dataset_13/3/ibex_controller.sv.diff	OK	0	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/logs/23	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/work/23
20	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset0/dataset_13/0/ibex_core.sv.diff	OK	0	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/logs/20	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/work/20
43	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset0/dataset_18/0/ibex_controller.sv.diff	APPLY_FAIL	1	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/logs/43	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/work/43
44	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset0/dataset_18/1/ibex_alu.sv.diff	APPLY_FAIL	1	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/logs/44	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/work/44
45	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset0/dataset_18/2/ibex_ex_block.sv.diff	APPLY_FAIL	1	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/logs/45	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/work/45
38	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset0/dataset_16/2/ibex_load_store_unit.sv.diff	BUILD_FAIL	1	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/logs/38	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/work/38
47	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset0/dataset_18/4/ibex_prefetch_buffer.sv.diff	APPLY_FAIL	1	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/logs/47	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/work/47
46	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset0/dataset_18/3/ibex_fetch_fifo.sv.diff	APPLY_FAIL	1	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/logs/46	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/work/46
48	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset0/dataset_19/0/ibex_alu.sv.diff	APPLY_FAIL	1	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/logs/48	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/work/48
49	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset0/dataset_19/1/ibex_id_stage.sv.diff	APPLY_FAIL	1	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/logs/49	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/work/49
50	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset0/dataset_19/2/ibex_multdiv_fast.sv.diff	APPLY_FAIL	1	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/logs/50	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/work/50
51	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset0/dataset_20/0/ibex_load_store_unit.sv.diff	APPLY_FAIL	1	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/logs/51	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/work/51
53	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset0/dataset_20/2/ibex_load_store_unit.sv.diff	APPLY_FAIL	1	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/logs/53	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/work/53
52	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset0/dataset_20/1/ibex_if_stage.sv.diff	APPLY_FAIL	1	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/logs/52	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/work/52
54	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset0/dataset_20/4/ibex_fetch_fifo.sv.diff	APPLY_FAIL	1	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/logs/54	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/work/54
56	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset0/dataset_21/0/ibex_prefetch_buffer.sv.diff	APPLY_FAIL	1	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/logs/56	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/work/56
39	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset0/dataset_16/4/ibex_prefetch_buffer.sv.diff	BUILD_FAIL	1	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/logs/39	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/work/39
57	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset0/dataset_21/1/ibex_multdiv_fast.sv.diff	APPLY_FAIL	1	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/logs/57	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/work/57
58	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset0/dataset_21/2/ibex_if_stage.sv.diff	APPLY_FAIL	1	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/logs/58	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/work/58
59	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset0/dataset_21/3/ibex_multdiv_fast.sv.diff	APPLY_FAIL	1	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/logs/59	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/work/59
60	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset0/dataset_21/4/ibex_prefetch_buffer.sv.diff	APPLY_FAIL	1	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/logs/60	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/work/60
63	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset0/dataset_22/2/ibex_alu.sv.diff	APPLY_FAIL	1	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/logs/63	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/work/63
62	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset0/dataset_22/1/ibex_controller.sv.diff	APPLY_FAIL	1	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/logs/62	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/work/62
64	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset0/dataset_22/3/ibex_wb_stage.sv.diff	APPLY_FAIL	1	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/logs/64	/mnt/sda/bluesfl-tmp/cosim_run_2026-06-24-22-25-05_536898/work/64
